"Table with row headers in column A, and column headers in rows 7 through 10.  Leading dots indicate subparts.",,,,,,,,,,,,,,,,,,,,,,,
"MS-1.  Marital Status of the Population 15 Years Old and Over by Sex, Race and Hispanic Origin:  1950 to Present",,,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"For more information about ASEC, including the source and accuracy statement, see the technical documentation accessible at: https://www.census.gov/programs-surveys/cps/technical-documentation/complete.html",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Men,,,,,,,,Women,,,,,,,,,,,,,,
,,,,   Unmarried,,,,,,,,   Unmarried,,,,,,,,,,,
,,,,,Never ,,,,,,,,Never ,,,,,,,,,,
Year,Total,Married1,,Total,married,Widowed,Divorced,,Total,Married1,,Total,married,Widowed,Divorced,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.All races,,,,,,,,,,,,,,,,,,,,,,,
..1980,"8,292","4,053",,"4,239","3,410",308,521,,"10,108","4,508",,"5,600","3,401","1,319",880,,,,,,,,
..1970,"6,936","3,949",,"2,987","2,468",307,212,,"8,108","4,384",,"3,723","2,248","1,120",355,,,,,,,,
..1960*,"6,143","3,739",,"2,404","1,988",296,120,,"6,747","4,038",,"2,709","1,456",965,288,,,,,,,,
..1950*,"5,299","3,415",,"1,885","1,508",278,99,,"5,698","3,534",,"2,164","1,178",832,154,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
.Asian2,,,,,,,,,,,,,,,,,,,,,,,
..2021a,"7,803","4,767",,"3,036","2,662",127,247,,"8,867","5,479",,"3,388","2,363",545,480,,,,,,,,
..2020a,"7,862","4,875",,"2,987","2,624",117,246,,"8,793","5,476",,"3,318","2,345",560,413,,,,,,,,
..2019a,"7,814","4,812",,"3,001","2,700",94,207,,"8,683","5,384",,"3,299","2,246",570,483,,,,,,,,
..2019b,"8,444","4,997",,"3,448","3,113",102,233,,"9,325","5,630",,"3,695","2,598",578,519,,,,,,,,
..2018a,"7,685","4,651",,"3,034","2,726",105,203,,"8,531","5,265",,"3,267","2,230",560,477,,,,,,,,
..2018b,"8,200","4,786",,"3,413","3,087",106,220,,"9,067","5,473",,"3,593","2,511",573,509,,,,,,,,
..2017a,"7,382","4,447",,"2,937","2,615",92,230,,"8,226","5,065",,"3,160","2,167",566,427,,,,,,,,
..2017b,"7,858","4,584",,"3,273","2,931",94,248,,"8,717","5,227",,"3,490","2,441",579,470,,,,,,,,
..2016a,"7,095","4,372",,"2,724","2,464",96,164,,"7,998","5,020",,"2,977","2,109",492,376,,,,,,,,
..2016b,"7,575","4,489",,"3,084","2,778",108,198,,"8,465","5,172",,"3,292","2,384",505,403,,,,,,,,
..2015a,"6,928","4,207",,"2,721","2,409",102,210,,"7,719","4,752",,"2,967","2,051",474,442,,,,,,,,
..2015b,"7,419","4,351",,"3,067","2,716",106,245,,"8,210","4,936",,"3,274","2,330",483,461,,,,,,,,
"..2014a, s","6,564","3,997",,"2,567","2,290",88,189,,"7,386","4,629",,"2,757","1,862",453,442,,,,,,,,
"..2014b, s","7,050","4,131",,"2,919","2,621",89,209,,"7,904","4,818",,"3,086","2,149",467,470,,,,,,,,
..2013a,"6,273","3,797",,"2,476","2,204",87,185,,"7,147","4,429",,"2,719","1,887",426,406,,,,,,,,
..2013b,"6,720","3,933",,"2,787","2,500",87,200,,"7,638","4,614",,"3,023","2,160",433,430,,,,,,,,
..2012a,"6,102","3,751",,"2,351","2,105",63,183,,"6,924","4,322",,"2,601","1,829",425,347,,,,,,,,
..2012b,"6,573","3,883",,"2,690","2,412",64,214,,"7,389","4,486",,"2,902","2,077",430,395,,,,,,,,
"..2011a, r","5,985","3,628",,"2,357","2,082",86,189,,"6,758","4,123",,"2,634","1,807",464,363,,,,,,,,
"..2011b, r","6,399","3,754",,"2,645","2,337",92,216,,"7,219","4,272",,"2,948","2,069",480,399,,,,,,,,
..2011a,"5,423","3,343",,"2,080","1,812",84,184,,"6,076","3,764",,"2,312","1,527",450,335,,,,,,,,
..2011b,"5,786","3,458",,"2,328","2,031",89,208,,"6,460","3,889",,"2,571","1,742",464,365,,,,,,,,
..2010a,"5,285","3,310",,"1,975","1,736",67,172,,"5,916","3,720",,"2,196","1,433",457,306,,,,,,,,
..2010b,"5,612","3,419",,"2,193","1,931",70,192,,"6,260","3,848",,"2,413","1,622",463,328,,,,,,,,
..2009a,"5,077","3,214",,"1,863","1,619",77,167,,"5,695","3,667",,"2,028","1,325",413,290,,,,,,,,
..2009b,"5,400","3,326",,"2,074","1,812",81,181,,"6,010","3,789",,"2,221","1,491",422,308,,,,,,,,
..2008a,"5,106","3,137",,"1,968","1,751",79,138,,"5,670","3,545",,"2,125","1,400",419,306,,,,,,,,
..2008b,"5,408","3,249",,"2,159","1,922",83,154,,"6,022","3,677",,"2,345","1,596",424,325,,,,,,,,
..2007a,"5,088","3,164",,"1,924","1,735",58,131,,"5,591","3,524",,"2,066","1,429",356,281,,,,,,,,
..2007b,"5,387","3,289",,"2,098","1,890",60,148,,"5,921","3,649",,"2,273","1,612",360,301,,,,,,,,
